,
,
,
"['707', '25th-annniversary-tour', '25th annniversary tour']","['706', '25th-anniversary-tour', '25th anniversary tour']"
,
"['890', '36-crazyfists', '36 Crazyfists']","['889', '36-crayfists', '36 Crayfists']"
"['892', '36-crazyfists-skinlab-and-all-hail-the-yeti', '36 Crazyfists, Skinlab and All Hail the Yeti']","['891', '36-crazyfists-skinlab-all-hail-the-yeti', '36 Crazyfists, Skinlab & All Hail the Yeti']"
"['949', '3rd-times-a-charm', '3rd Times a Charm']","['948', '3rd-time-s-a-charm', ""3rd Time's a Charm""]"
"['957', '4-asprin-morning', '4 Asprin Morning ']","['956', '4-aspirin-morning', '4 Aspirin Morning']"
"['1105', '50ftwoman', '50ftwoman']","['1104', '50ft-woman', '50ft Woman']"
"['1277', '8-miles-high', '8 Miles High']","['1276', '8-mile-high', '8 Mile High ']"
"['1305', '80hproject', '80Hproject']","['1304', '80h-project', '80H Project']"
"['1323', '88-fingers-louie', '88 Fingers Louie']","['1322', '88-finger-louie', '88 Finger Louie']"
"['1969', 'a-asp-ferg', 'A$ASP Ferg']","['1968', 'a-ap-ferg', 'A$AP Ferg']"
"['1500', 'a-brilliant-lie', 'A Brilliant Lie']","['1499', 'a-brillian-lie', 'A Brillian Lie']"
"['1556', 'a-day-to-remember', 'A Day To Remember']","['1555', 'a-day-to-remeber', 'A Day To Remeber']"
"['1569', 'a-delicate-processs', 'A Delicate Processs']","['1568', 'a-delicate-process', 'A Delicate Process']"
"['1618', 'a-fragile-tomorrow', 'A Fragile Tomorrow']","['1617', 'a-fragile-tommorrow', 'A Fragile Tommorrow']"
"['1632', 'a-god-or-another', 'A God or Another']","['1633', 'a-god-or-an-other', 'A God or an Other']"
"['1669', 'a-jokers-rage', 'A Jokers Rage']","['1666', 'a-joker-s-rage', ""A JOKER'S RAGE""]"
"['1673', 'a-killers-confession', 'A Killers Confession']","['1672', 'a-killer-s-confession', ""A Killer's Confession""]"
"['1693', 'a-life-forsaken', 'A Life Forsaken']","['1692', 'a-life-forsaen', 'A Life Forsaen']"
"['1695', 'a-life-in-arms-reach', 'A Life In Arms Reach']","['1694', 'a-life-in-arm-s-reach', ""A Life In Arm's Reach""]"
"['2038', 'a-m-feelgood', 'A.M. feelgood']","['2037', 'a-m-feel-good', 'A.M. feel good']"
"['1789', 'a-perfect-tool-tribute-to-a-perfect-circle-tool', 'A Perfect Tool: Tribute to A Perfect Circle & Tool']","['1780', 'a-perfect-tool-tribute-to-a-perfect-circle-and-tool', 'A PERFECT TOOL: Tribute to A PERFECT CIRCLE and TOOL']"
"['1849', 'a-sleepless-malice', 'A Sleepless Malice']","['1848', 'a-sleepless-malic', 'A Sleepless Malic']"
"['174629', 'aalmadili', 'aalmadili']","['2711', 'aalma-dili', 'Aalma Dili']"
"['2836', 'aaron-sandovall', 'Aaron Sandovall']","['2835', 'aaron-sandoval', 'Aaron Sandoval']"
,
"['2858', 'aaron-west-the-roaring-twenties', 'Aaron West & The Roaring Twenties']","['2857', 'aaron-west-the-roarding-twenties', 'Aaron West & The Roarding Twenties']"
"['2905', 'abandon-the-midwest', 'Abandon The Midwest']","['2904', 'abandon-the-midewest', 'Abandon The Midewest']"
