ARTISTA,ARTISTB
"['100091', 'michael-bernard-fitzgerald', 'Michael Bernard Fitzgerald']","['100090', 'michael-bernard-fitzgeral', 'Michael Bernard Fitzgeral']"
"['10011', 'arlo-mckinney-the-lonesome-sound', 'Arlo McKinney & The Lonesome Sound']","['10010', 'arlo-mckinley-the-lonesome-sound', 'Arlo McKinley & The Lonesome Sound']"
"['100254', 'michael-janisch-s-paradigm-shift', 'Michael Janisch\'s ""Paradigm Shift""']","['100253', 'michael-janisch-paradigm-shift', 'Michael Janisch ""Paradigm Shift""']"
"['100255', 'michael-jansich-s-paradigm-shift', 'Michael Jansich\'s ""Paradigm Shift""']","['100254', 'michael-janisch-s-paradigm-shift', 'Michael Janisch\'s ""Paradigm Shift""']"
"['10039', 'armed-for-apocaplypse', 'Armed For Apocaplypse']","['10041', 'armed-for-apocalypse', 'Armed for Apocalypse']"
"['100415', 'michael-schenker', 'Michael Schenker']","['100414', 'michael-scheinker', 'Michael Scheinker']"
"['100485', 'michael-gregorrio', 'Michael gregorrio']","['100512', 'michael-gregorio', 'Micha\xc3\xabl Gregorio']"
"['10064', 'armored-saint', 'Armored Saint']","['10063', 'armored-sain', 'Armored Sain']"
"['100686', 'micky-the-motorcars', 'Micky & the Motorcars']","['100685', 'micky-the-motocars', 'Micky & The Motocars']"
"['100847', 'midnight-tyrannosaurus', 'Midnight Tyrannosaurus']","['100846', 'midnight-tyrannosauros', 'Midnight Tyrannosauros']"
"['101030', 'mike-the-moonpies', 'Mike & the Moonpies']","['101029', 'mike-the-moon-pies', 'Mike & the Moon pies ']"
"['101039', 'mike-annuzzi', 'Mike Annuzzi']","['176659', 'mike-annuzi', 'mike annuzi']"
"['101043', 'mike-baggetta', 'Mike Baggetta']","['101042', 'mike-bagetta', 'Mike Bagetta']"
"['101198', 'mike-herz', 'Mike Herz']","['101197', 'mike-hertz', 'Mike Hertz']"
"['101260', 'mike-mains-the-branches', 'Mike Mains & The Branches']","['101259', 'mike-mains-the-brances', 'Mike Mains & The Brances']"
"['101395', 'mike-snodgrass', 'Mike Snodgrass']","['101394', 'mike-snodgras', 'Mike Snodgras']"
"['101503', 'mikey-b3-burkart-mojo-jospeh-project', 'Mikey B3 Burkart & Mojo Jospeh Project']","['101502', 'mikey-b3-burkart-mojo-joseph-project', 'Mikey B3 Burkart & Mojo Joseph Project']"
"['101511', 'mikey-delara', 'Mikey DeLara']","['101532', 'mikey-de-lara', 'Mikey de Lara']"
"['101622', 'miles-nielson-the-rusted-hearts', 'Miles Nielson & the Rusted Hearts']","['101621', 'miles-nielsen-the-rusted-hearts', 'Miles Nielsen & The Rusted Hearts']"
"['101660', 'milk-cookies', 'Milk & Cookies']","['101659', 'milk-cookie', 'Milk & Cookie ']"
"['101665', 'milk-carton-superstarts', 'Milk Carton Superstarts']","['101664', 'milk-carton-superstars', 'Milk Carton Superstars']"
"['101689', 'milking-the-goatmachine', 'Milking The Goatmachine']","['101690', 'milking-the-goat-machine', 'Milking the Goat Machine']"
"['101780', 'mime-games', 'Mime Games ']","['101779', 'mime-game', 'Mime Game']"
"['101786', 'mimi-fox-guitars', 'Mimi Fox - guitars']","['101785', 'mimi-fox-guitar', 'Mimi Fox - guitar']"
"['101867', 'mindcore-djs', 'Mindcore Djs']","['101866', 'mindcore-dj-s', ""Mindcore Dj's""]"
"['10191', 'arsena-scroeder', 'Arsena Scroeder']","['10190', 'arsena-schroeder', 'Arsena Schroeder']"
"['101996', 'minor-characters', 'Minor Characters']","['101995', 'minor-charachters', 'Minor Charachters']"
"['102008', 'minor-setbacks', 'Minor Setbacks']","['102007', 'minor-setback', 'Minor Setback']"
"['10207', 'arsonits-get-all-the-girls', 'Arsonits get all the girls']","['10206', 'arsonists-get-all-the-girls', 'Arsonists Get All the Girls']"
"['10220', 'art-department', 'Art Department']","['10219', 'art-departement', 'Art Departement']"
"['102244', 'miss-caffeina', 'Miss Caffeina']","['102243', 'miss-cafeina', 'Miss Cafeina']"
"['102275', 'miss-kittn', 'Miss Kittn']","['102274', 'miss-kittin', 'Miss Kittin']"
"['102286', 'miss-lonely-hearts', 'Miss Lonely Hearts']","['102285', 'miss-lonely-heart', 'Miss Lonely Heart']"
"['102399', 'missy-heine-andersen', 'Missy & Heine Andersen']","['102398', 'missy-heine-anderse', 'Missy & Heine Anderse']"
"['102569', 'mixtura-productions', 'Mixtura Productions']","['102568', 'mixtura-production', 'Mixtura Production']"
"['102577', 'miyoh-hoga', 'MiyoH hoga']","['102576', 'miyo-hoga', 'Miyo Hoga']"
"['102716', 'modern-colour', 'Modern Colour']","['102715', 'modern-color', 'Modern Color']"
"['102845', 'mohammed-beddiar', 'Mohammed Beddiar']","['102844', 'mohammed-beddar', 'Mohammed Beddar']"
"['102912', 'mole-and-the-level-antz', 'Mole And The Level Antz']","['102911', 'mole-and-the-level-ants', 'Mole And The Level Ants']"
"['102967', 'molotov-jukebox', 'Molotov Jukebox']","['176711', 'molotov-jukebobx', 'molotov jukebobx']"
"['102975', 'molsky-s-mountain-drifters-w-stash-wyslouch-allison-de-groot', ""Molsky's Mountain Drifters w/ Stash Wyslouch & Allison de Groot""]","['102974', 'molsky-s-mountain-drifters-w-bruce-stash-wyslouch-allison-de-groot', ""Molsky's Mountain Drifters w/ Bruce, Stash Wyslouch & Allison de Groot""]"
"['103028', 'monachan-hill', 'Monachan Hill']","['103027', 'monacan-hill', 'Monacan Hill']"
"['103077', 'money-chicha', 'Money Chicha']","['103076', 'money-chica', 'Money Chica']"
"['103079', 'money-for-nothing', 'Money For Nothing']","['103078', 'money-for-nothin', ""Money For Nothin'""]"
"['103082', 'money-left-to-burn', 'Money Left To Burn']","['103081', 'money-left-t-burn', 'Money Left T Burn']"
"['103158', 'monkey-safarie', 'Monkey Safarie ']","['103157', 'monkey-safari', 'Monkey Safari']"
"['103446', 'moon-ritual-with-anane-louie-vega', 'Moon Ritual with Anane & Louie Vega']","['103445', 'moon-ritual-w-anane-louie-vega', 'Moon Ritual w/ Anane & Louie Vega']"
"['103549', 'moonsville-collective', 'Moonsville Collective']","['103548', 'moonsville-collecitve', 'Moonsville Collecitve']"
"['103651', 'more-or-less', 'More Or Less']","['103665', 'more-or-les', 'More or Les']"
