ARTISTA,ARTISTB,,,,
"print artist[""name""],""",",artist[""co2Spent""]

21

# final[artist[""name""]]=artist[""co2Spent""] 

22

?

23

?

 Adestria, Erra / 2079.72295629
 Joey Cape, Jon Snodgrass & Brian Wahlstrom / 2117.92727732
 Novustory / 794.011961887
 Phil Campbell and the Bastard Sons / 6507.60627574
!!! / 242807.72198
""Acoustic Africa",,,,
EMBRACE THE DIRT,0.0,,,,
Eaglemaniacs,0.0,,,,
Earl Rose,0.0,,,,
Eddie Tigner,0.0,,,,
El Camino Youth Symphony,0.0,,,,
El SUPERRITMO,0.0,,,,
Electric Feel Dance Party!,0.0,,,,
"Elizabeth DeShong, Hansel",0.0,,,,
Ellis Marsalis Quintet,0.0,,,,
Elodie Sifert,0.0,,,,
Emil Viklicky,0.0,,,,
English National Opera,0.0,,,,
Eric Tillman,0.0,,,,
Ernest Martinez,0.0,,,,
Esbjè´”rn Svensson,0.0,,,,
Eudora Evans,0.0,,,,
Eugene Snowden's Ten Pints of Truth,0.0,,,,
Every Tuesday In the Den,0.0,,,,
Explora,0.0,,,,
FBomb,0.0,,,,
FESTIVAL RIO LOCO,0.0,,,,
FREE Funk Jam!,0.0,,,,
FST! Female StoryTellers,0.0,,,,
Fallex,0.0,,,,
Farmers' Market Folk,0.0,,,,
Fast Times °«80s and °«90s Night,0.0,,,,
Feezy,0.0,,,,
Felicia Collins,0.0,,,,
Fetid,0.0,,,,
Folklore show,0.0,,,,
Freddie Hall,0.0,,,,
Frederic Da Silva,0.0,,,,
Free Reggae Nights at Hi-Fi Hosted by Sol Seed,0.0,,,,
Fresno's Monthly Motown Night,0.0,,,,
Friday Night Jazz Series,0.0,,,,
Frode Johansen Duo,0.0,,,,
Funky Finger,0.0,,,,
Futuroscope,0.0,,,,
Gabrielle Compan,0.0,,,,
Galaxy radio,0.0,,,,
Garden District Trio,0.0,,,,
Gavin Guthrie,0.0,,,,
General Jackson Cruise Buffet,0.0,,,,
GhostDragon,0.0,,,,
Giovanni Mazzarino,0.0,,,,
Girl from the North Country,0.0,,,,
Glenn Drewes,0.0,,,,
Gourmet,0.0,,,,
Graham Doolan Singer,0.0,,,,
Graham Robinson Band,0.0,,,,
Grandeur Of The Sea,0.0,,,,
Granduer Of The Sea,0.0,,,,
Gregory Brock,0.0,,,,
Groovin' River,0.0,,,,
H1 F.,0.0,,,,
HOME festival,0.0,,,,
HOMMAGE AUX CASTRATS,0.0,,,,
Hangar 24,0.0,,,,
"Harris, Butman",0.0,,,,
Havering Concert Orchestra,0.0,,,,
Healing Force,0.0,,,,
Hear My Cry,0.0,,,,
Helt i 100,0.0,,,,
Heraldo,0.0,,,,
High Fantasy,0.0,,,,
High Roller Wheel,0.0,,,,
High Roller Wheel at the Linq,0.0,,,,
HonkyTonk Heroes Acoustic Duo,0.0,,,,
Horse Racing,0.0,,,,
Hot Sauce Band,0.0,,,,
How and Why,0.0,,,,
Howard University Theater Arts,0.0,,,,
Hè´±rold,0.0,,,,
Ian Beetlestone,0.0,,,,
Ian Smith,0.0,,,,
Ilegal Party,0.0,,,,
ImproBerlin,0.0,,,,
In Lak'ech,0.0,6420.01536922,,,
Invito all'Opera,0.0,,,,
Irish Jam Session on the Patio,0.0,,,,
Islington Assembly Hall,0.0,,,,
Ivas John Band,0.0,,,,
J Sully,0.0,,,,
J2G,0.0,,,,
JUSTIN SANDERCOE,0.0,,,,
Jalph,0.0,,,,
Jamey Garner,0.0,,,,
Jason Timbuktu Diakitè´± ? En droppe midnatt,0.0,,,,
Jay Johnston,0.0,,,,
Jay Mickens,0.0,,,,
Jazz Camp,0.0,,,,
Jazz Efterrè´£tt,0.0,,,,
Jazz Revolution,0.0,,,,
Jazz in the Lobby Bar,0.0,,,,
