TYPE : TSP
DIMENSION : 744
EDGE_WEIGHT_TYPE : GEO
NODE_COORD_SECTION
0 39.1943 -84.4007
1 39.1619 -84.4569
2 39.1619 -84.4569
3 39.1149 -84.4376
4 39.1619 -84.4569
5 39.1291 -84.4305
6 39.1149 -84.4376
7 39.1619 -84.4569
8 39.1149 -84.4376
9 39.1149 -84.4376
10 39.7789 -84.055
11 41.6591 -83.5273
12 39.1149 -84.4376
13 39.1619 -84.4569
14 39.1619 -84.4569
15 39.1149 -84.4376
16 41.49 -71.3133
17 40.0072 -83.0097
18 39.1619 -84.4569
19 39.1149 -84.4376
20 39.1619 -84.4569
21 39.1619 -84.4569
22 39.2278 -84.3247
23 39.1619 -84.4569
24 39.1149 -84.4376
25 39.1149 -84.4376
26 39.1619 -84.4569
27 37.9886 -84.4778
28 38.2542 -85.7594
29 39.1619 -84.4569
30 39.1149 -84.4376
31 39.1619 -84.4569
32 39.1619 -84.4569
33 39.8072 -83.8875
34 39.3276 -82.1023
35 39.1619 -84.4569
36 39.1149 -84.4376
37 39.1619 -84.4569
38 37.9886 -84.4778
39 38.2542 -85.7594
40 39.1619 -84.4569
41 39.1149 -84.4376
42 39.1619 -84.4569
43 39.2278 -84.3247
44 39.1619 -84.4569
45 39.1619 -84.4569
46 39.1149 -84.4376
47 39.1619 -84.4569
48 39.1149 -84.4376
49 39.1619 -84.4569
50 39.1619 -84.4569
51 39.1149 -84.4376
52 39.1619 -84.4569
53 39.1619 -84.4569
54 39.1619 -84.4569
55 38.9422 -84.8459
56 39.1619 -84.4569
57 39.1149 -84.4376
58 39.3276 -82.1023
59 41.6591 -83.5273
60 39.2487 -84.297
61 39.1291 -84.4305
62 39.1619 -84.4569
63 39.1149 -84.4376
64 38.2542 -85.7594
65 39.1619 -84.4569
66 39.1619 -84.4569
67 39.1619 -84.4569
68 39.1149 -84.4376
69 39.1619 -84.4569
70 39.1149 -84.4376
71 39.8072 -83.8875
72 39.1619 -84.4569
73 39.1149 -84.4376
74 39.3 -81.9072
75 40.0035 -83.0006
76 39.1149 -84.4376
77 39.3276 -82.1023
78 39.1291 -84.4305
79 39.1619 -84.4569
80 39.1149 -84.4376
81 39.1149 -84.4376
82 39.1149 -84.4376
83 39.1619 -84.4569
84 39.1149 -84.4376
85 39.1413 -84.5104
86 39.2278 -84.3247
87 40.0035 -83.0006
88 39.1149 -84.4376
89 39.0936 -84.4966
90 38.2542 -85.7594
91 39.1149 -84.4376
92 39.0936 -84.4282
93 39.5896 -84.7848
94 39.1619 -84.4569
95 39.1149 -84.4376
96 39.1619 -84.4569
97 39.1619 -84.4569
98 39.1149 -84.4376
99 39.0936 -84.4282
100 39.1149 -84.4376
101 39.0936 -84.4966
102 39.1149 -84.4376
103 39.0936 -84.4282
104 38.2542 -85.7594
105 38.2542 -85.7594
106 39.0936 -84.4966
107 39.2278 -84.3247
108 39.1149 -84.4376
109 39.3276 -82.1023
110 39.2278 -84.3247
111 39.1149 -84.4376
112 39.1149 -84.4376
113 39.0936 -84.4282
114 39.1619 -84.4569
115 39.1149 -84.4376
116 39.8072 -83.8875
117 39.1149 -84.4376
118 39.0936 -84.4282
119 39.1149 -84.4376
120 39.1291 -84.4305
121 39.1149 -84.4376
122 39.0936 -84.4282
123 38.2542 -85.7594
124 39.3276 -82.1023
125 38.2542 -85.7594
126 39.1149 -84.4376
127 39.1398 -84.5131
128 39.1149 -84.4376
129 39.0936 -84.4282
130 42.2803 -83.7512
131 39.7683 -86.1581
132 41.7034 -83.657
133 39.1149 -84.4376
134 39.9645 -82.6317
135 39.9645 -82.6317
136 39.9645 -82.6317
137 39.9645 -82.6317
138 39.1149 -84.4376
139 39.0936 -84.4282
140 39.5896 -84.7848
141 39.1149 -84.4376
142 38.2542 -85.7594
