 nom,km,pos
 Steve Aoki ,3604267.23067,1
 Ferry Corsten ,2713638.04695,2
 Legends ,2550976.21381,3
 Markus Schulz ,2518692.64308,4
 Chuckie ,2450828.67704,5
 Jazz ,2333385.66967,6
 Open Mic ,2283771.65878,7
 Laidback Luke ,2267856.42658,8
 NERVO ,2242246.61524,9
 Mark Knight ,2192547.53011,10
 Cosmic Gate ,2187570.98274,11
 Dubfire ,2112558.65004,12
 Infected Mushroom ,2080129.48415,13
 Tiësto ,2069718.77845,14
 Nic Fanciulli ,1974648.06077,15
 DJ Dan ,1966135.89704,16
 Above & Beyond ,1950662.2222,17
 To Be Announced ,1932019.76514,18
 Hernan Cattaneo ,1928954.03396,19
 Diplo ,1921569.83694,20
 W&W ,1877481.35477,21
 Rock ,1873648.89617,22
 The Glenn Miller Orchestra ,1870099.69254,23
 Dave Seaman ,1869377.67092,24
 Paul van Dyk ,1856735.82052,25
 DANCE ,1850585.45211,26
 Sunnery James & Ryan Marciano ,1812068.74091,27
 Hardwell ,1782869.75404,28
 Sultan + Shepard ,1777012.84585,29
 A-Trak ,1767581.77948,30
 Sasha ,1764749.50048,31
 Cedric Gervais ,1734631.32999,32
 Sharam ,1726592.01182,33
 Andy Moor ,1724735.11111,34
 Dirty South ,1699041.88778,35
 An Evening ,1696766.48836,36
 Mamma Mia! ,1676234.69753,37
 Steve Lawler ,1671508.37647,38
 Foo Fighters ,1667639.90708,39
 Claude VonStroke ,1663147.91098,40
 Aly & Fila ,1656868.49394,41
 The Jacksons ,1634565.83227,42
 DJ RUCKUS ,1632396.99225,43
 Gareth Emery ,1632012.29656,44
 The Wailers ,1610581.08412,45
 Y&T ,1605644.68549,46
 Kaskade ,1599925.84711,47
 Paul Oakenfold ,1598689.29514,48
 Sander van Doorn ,1596419.13666,49
 Karaoke ,1576524.07041,50
 Felix da Housecat ,1571571.62275,51
 Roger Sanchez ,1557231.60035,52
 Secret Guest ,1548609.66248,53
 EDX ,1539699.61869,54
 His Band ,1538092.93442,55
 R3hab ,1536183.86049,56
 Calvin Harris ,1508499.51176,57
 The English Beat ,1499590.28873,58
 Quintino ,1498759.07167,59
 Stafford Brothers ,1492987.97708,60
 TBD ,1482182.72334,61
 Armin van Buuren ,1475719.77321,62
 Love ,1468227.99047,63
 John Digweed ,1453606.68108,64
 Stomp ,1445000.80836,65
 Ladies Night ,1439779.97785,66
 Elton John ,1433650.82355,67
 Erick Morillo ,1428058.72442,68
