 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , Steve Aoki ,3604267.23067, ,
 , Ferry Corsten ,2713638.04695, ,
 , Legends ,2550976.21381, ,
 , Markus Schulz ,2518692.64308, ,
 , Chuckie ,2450828.67704, ,
 , Jazz ,2333385.66967, ,
 , Open Mic ,2283771.65878, ,
 , Laidback Luke ,2267856.42658, ,
 , NERVO ,2242246.61524, ,
 , Mark Knight ,2192547.53011, ,
 , Cosmic Gate ,2187570.98274, ,
 , Dubfire ,2112558.65004, ,
 , Infected Mushroom ,2080129.48415, ,
 , Tiësto ,2069718.77845, ,
 , Nic Fanciulli ,1974648.06077, ,
 , DJ Dan ,1966135.89704, ,
 , Above & Beyond ,1950662.2222, ,
 , To Be Announced ,1932019.76514, ,
 , Hernan Cattaneo ,1928954.03396, ,
 , Diplo ,1921569.83694, ,
 , W&W ,1877481.35477, ,
 , Rock ,1873648.89617, ,
 , The Glenn Miller Orchestra ,1870099.69254, ,
 , Dave Seaman ,1869377.67092, ,
 , Paul van Dyk ,1856735.82052, ,
 , DANCE ,1850585.45211, ,
 , Sunnery James & Ryan Marciano ,1812068.74091, ,
 , Hardwell ,1782869.75404, ,
 , Sultan + Shepard ,1777012.84585, ,
 , A-Trak ,1767581.77948, ,
 , Sasha ,1764749.50048, ,
 , Cedric Gervais ,1734631.32999, ,
 , Sharam ,1726592.01182, ,
 , Andy Moor ,1724735.11111, ,
 , Dirty South ,1699041.88778, ,
 , An Evening ,1696766.48836, ,
 , Mamma Mia! ,1676234.69753, ,
 , Steve Lawler ,1671508.37647, ,
 , Foo Fighters ,1667639.90708, ,
 , Claude VonStroke ,1663147.91098, ,
 , Aly & Fila ,1656868.49394, ,
 , The Jacksons ,1634565.83227, ,
 , DJ RUCKUS ,1632396.99225, ,
 , Gareth Emery ,1632012.29656, ,
 , The Wailers ,1610581.08412, ,
 , Y&T ,1605644.68549, ,
 , Kaskade ,1599925.84711, ,
 , Paul Oakenfold ,1598689.29514, ,
 , Sander van Doorn ,1596419.13666, ,
 , Karaoke ,1576524.07041, ,
 , Felix da Housecat ,1571571.62275, ,
 , Roger Sanchez ,1557231.60035, ,
 , Secret Guest ,1548609.66248, ,
 , EDX ,1539699.61869, ,
 , His Band ,1538092.93442, ,
 , R3hab ,1536183.86049, ,
 , Calvin Harris ,1508499.51176, ,
 , The English Beat ,1499590.28873, ,
 , Quintino ,1498759.07167, ,
