Afghanistan (l');Kaboul;Danemark (le);Copenhague;Libéria (le);Monrovia;Russie (la);Moscou
Afrique du Sud (l');Prétoria;Djibouti;Djibouti;Libye (la);Tripoli;Rwanda (le);Kigali
Albanie (l');Tirana;Dominicaine (la ;;Liechtenstein (le);Vaduz;Saint-Christophe-et-Niévès;Basseterre
Algérie (l');Alger;République);Saint-Domingue;Lituanie (la);Vilnius;Sainte-Lucie;Castries
Allemagne (l');Berlin;Dominique (la);Roseau;Luxembourg (le);Luxembourg;Saint-Marin;Saint-Marin
Andorre (l');Andorre-la-Vieille;Égypte (l');Le Caire;Macédoine (l'ancienne ;;Saint-Siège (le);  -
Angola (l');Luanda;Émirats arabes unis (les);Abou Dabi;République yougoslave de);Skopje;Saint-Vincent-et-les-;
Antigua-et-Barbuda;Saint John's;Équateur (l');Quito;Madagascar;Antananarivo ;Grenadines;Kingstown
Arabie saoudite (l');Riyad;Érythrée (l');Asmara;;(ou Tananarive);Salomon (les);Honiara
Argentine (l');Buenos Aires;Espagne (l');Madrid;Malaisie (la);Kuala Lumpur;Salvador (le);San Salvador
Arménie (l');Erevan;Estonie (l');Tallinn;Malawi (le);Lilongwé;Samoa (les);Apia
Australie (l');Canberra;États-Unis (les);Washington;Maldives (les);Malé;Sao Tomé-et-Principe;Sao Tomé
Autriche (l');Vienne;Éthiopie (l');Addis Abeba;Mali (le);Bamako;Sénégal (le);Dakar
Azerbaïdjan (l');Bakou;Fidji (les);Suva;Malte;La Valette;Serbie (la);Belgrade
Bahamas (les);Nassau;Finlande (la);Helsinki;Maroc (le);Rabat;Seychelles (les);Victoria
Bahreïn;Manama;France (la);Paris;Marshall (les);Delap-Uliga-Darrit ;Sierra Leone (la);Freetown
Bangladesh (le);Dacca;Gabon (le);Libreville;;(Majuro);Singapour;Singapour
Barbade (la);Bridgetown;Gambie (la);Banjul;Maurice;Port-Louis;Slovaquie (la);Bratislava
Belgique (la);Bruxelles;Géorgie (la);Tbilissi;Mauritanie (la);Nouakchott;Slovénie (la);Ljubljana
Bélize (le);Belmopan;Ghana (le);Accra;Mexique (le);Mexico;Somalie (la);Mogadiscio
Bénin (le);Porto-Novo;Grèce (la);Athènes;Micronésie (la);Palikir;Soudan (le);Khartoum
Bhoutan (le);Thimphou;Grenade (la);Saint-Georges;Moldavie (la);Chisinau;Soudan du Sud (le);Djouba ou Juba
Biélorussie (la);Minsk;Guatémala (le);Guatémala;Monaco;Monaco;Sri Lanka (le);Sri Jayewardenepura Kotte 
Birmanie (la);Naypyidaw;Guinée (la);Conakry;Mongolie (la);Oulan-Bator;;/ Colombo
Bolivie (la);Sucre / La Paz;Guinée-Bissao (la);Bissao;Monténégro (le);Podgorica;Suède (la);Stockholm
Bosnie-Herzégovine (la);Sarajevo;Guinée équatoriale (la);Malabo;Mozambique (le);Maputo;Suisse (la);Berne
Botswana (le);Gaborone;Guyana (le);Georgetown;Namibie (la);Windhoek;Suriname (le);Paramaribo
Brésil (le);Brasilia;Haïti;Port-au-Prince;Nauru;Yaren;Swaziland (le);Mbabané
Brunei (le);Bandar Seri Begawan;Honduras (le);Tégucigalpa;Népal (le);Katmandou;Syrie (la);Damas
Bulgarie (la);Sofia;Hongrie (la);Budapest;Nicaragua (le);Managua;Tadjikistan (le);Douchanbé
Burkina (le);Ouagadougou;Inde (l');New Delhi;Niger (le);Niamey;Tanzanie (la);Dodoma
Burundi (le);Bujumbura;Indonésie (l');Jakarta;Nigéria (le);Abuja;Tchad (le);Ndjamena
Cambodge (le);Phnom Penh;Irak (l');Bagdad;Norvège (la);Oslo;Tchèque (la République);Prague
Cameroun (le);Yaoundé;Iran (l');Téhéran;Nouvelle-Zélande (la);Wellington;Thaïlande (la);Bangkok
Canada (le);Ottawa;Irlande (l');Dublin;Oman;Mascate;Timor oriental (le);Dili
Cap-Vert (le);Praia;Islande (l');Reykjavik;Ouganda (l');Kampala;Togo (le);Lomé
Centrafrique (la);Bangui;Israël;  -;Ouzbékistan (l');Tachkent;Tonga (les);Nuku'alofa
Chili (le);Santiago;Italie (l');Rome;Pakistan (le);Islamabad;Trinité-et-Tobago (la);Port of Spain (ou Port d'Espagne)
Chine (la);Pékin;Jamaïque (la);Kingston;Palaos (les);Melekeok;Tunisie (la);Tunis
Chypre;Nicosie;Japon (le);Tokyo;Panama (le);Panama;Turkménistan (le);Achgabat
Colombie (la);Bogota;Jordanie (la);Amman;Papouasie-Nouvelle-Guinée (la);Port Moresby;Turquie (la);Ankara
Comores (les);Moroni;Kazakhstan (le);Astana;Paraguay (le);Asuncion);Tuvalu (les);Vaiaku (Funafuti)
Congo (le);Brazzaville;Kenya (le);Nairobi;; (ou Assomption);Ukraine (l');Kiev
Congo (la République ;;Kirghizstan (le);Bichkek;Pays-Bas (les);Amsterdam;Uruguay (l');Montévidéo
démocratique du);Kinshasa;Kiribati (les);Bairiki (Tarawa);Pérou (le);Lima;Vanuatu (le);Port-Vila
Corée du Nord (la);Pyongyang;Kosovo (le);Pristina;Philippines (les);Manille;Vénézuéla (le);Caracas
Corée du Sud (la);Séoul;Koweït (le);Koweït;Pologne (la);Varsovie;Vietnam (le);Hanoï
Costa Rica (le);San José;Laos (le);Vientiane;Portugal (le);Lisbonne;Yémen (le);Sanaa
Côte d'Ivoire (la);Yamoussoukro;Lesotho (le);Maseru;Qatar (le);Doha;Zambie (la);Lusaka
Croatie (la);Zagreb;Lettonie (la);Riga;Roumanie (la);Bucarest;Zimbabwé (le);Hararé
Cuba;La Havane;Liban (le);Beyrouth;Royaume-Uni (le);Londres;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
